Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Kutztown University of Pennsylvania,PA,Public,54173,
Linfield University,OR,"Private, nonprofit",54091,
California State University-Stanislaus,CA,Public,54007,
Alma College,MI,"Private, nonprofit",53947,
University of Wisconsin-Parkside,WI,Public,53923,
Bethel University,MN,"Private, nonprofit",53868,
Lynn University,FL,"Private, nonprofit",53858,
Saginaw Valley State University,MI,Public,53825,
University of South Florida,FL,Public,53810,
Xavier University,OH,"Private, nonprofit",53800,
Biola University,CA,"Private, nonprofit",53781,
Nazareth University,NY,"Private, nonprofit",53695,
Eastern Connecticut State University,CT,Public,53673,
Longwood University,VA,Public,53631,
Elmhurst University,IL,"Private, nonprofit",53618,
Bridgewater College,VA,"Private, nonprofit",53615,
William Paterson University of New Jersey,NJ,Public,53589,
East Stroudsburg University of Pennsylvania,PA,Public,53559,
University of Northern Iowa,IA,Public,53506,
Winona State University,MN,Public,53456,
Boise State University,ID,Public,53278,
The University of Texas at San Antonio,TX,Public,53267,
University of South Carolina-Columbia,SC,Public,53247,
Lasell University,MA,"Private, nonprofit",53172,
Northern Kentucky University,KY,Public,53082,
University of Southern Maine,ME,Public,53033,
Lewis & Clark College,OR,"Private, nonprofit",53026,
Texas State University,TX,Public,53009,
Northern Arizona University,AZ,Public,52957,
Saint Norbert College,WI,"Private, nonprofit",52927,
Luther College,IA,"Private, nonprofit",52905,
Southeastern University,FL,"Private, nonprofit",52899,
Minnesota State University Moorhead,MN,Public,52838,
Commonwealth University of Pennsylvania,,Public,52825,
Eastern Michigan University,MI,Public,52805,
Slippery Rock University of Pennsylvania,PA,Public,52762,
Goucher College,MD,"Private, nonprofit",52752,
University of Michigan-Dearborn,MI,Public,52703,
Kansas State University,KS,Public,52603,
University of Illinois Springfield,IL,Public,52588,
Mercer University,GA,"Private, nonprofit",52530,
Southern Illinois University Edwardsville,IL,Public,52466,
University of Central Missouri,MO,Public,52463,
Texas A&M University-Victoria,TX,Public,52435,
Suffolk University,MA,"Private, nonprofit",52398,
Western Connecticut State University,CT,Public,52385,
Adrian College,MI,"Private, nonprofit",52309,
Lipscomb University,TN,"Private, nonprofit",52267,
Concordia College at Moorhead,MN,"Private, nonprofit",52248,
Holy Cross College,IN,"Private, nonprofit",52231,
The College of Saint Rose,NY,"Private, nonprofit",52105,
University of South Dakota,SD,Public,52100,
Curry College,MA,"Private, nonprofit",52041,
Notre Dame de Namur University,CA,"Private, nonprofit",51994,
Indiana University-Northwest,IN,Public,51863,
Rochester Christian University,MI,"Private, nonprofit",51856,
California State University-Fresno,CA,Public,51788,
DeVry University-California,,"Private, for-profit",51752,
DeVry University-Colorado,,"Private, for-profit",51752,
DeVry University-Florida,,"Private, for-profit",51752,
DeVry University-Georgia,,"Private, for-profit",51752,
DeVry University-Illinois,,"Private, for-profit",51752,
DeVry University-Missouri,,"Private, for-profit",51752,
DeVry University-Nevada,,"Private, for-profit",51752,
DeVry University-Pennsylvania,,"Private, for-profit",51752,
DeVry University-Tennessee,,"Private, for-profit",51752,
DeVry University-Texas,,"Private, for-profit",51752,
DeVry University-Virginia,,"Private, for-profit",51752,
Colorado State University Pueblo,CO,Public,51721,
State University of New York at Plattsburgh,NY,Public,51715,
Baldwin Wallace University,OH,"Private, nonprofit",51698,
Central College,IA,"Private, nonprofit",51671,
Western Michigan University,MI,Public,51446,
Indiana University-Indianapolis,IN,Public,51397,
Georgetown College,KY,"Private, nonprofit",51395,
SUNY Buffalo State University,NY,Public,51379,
University of West Florida,FL,Public,51352,
Johnson & Wales University-Providence,RI,"Private, nonprofit",51247,
Johnson & Wales University-Charlotte,NC,"Private, nonprofit",51247,
Johnson & Wales University-Online,RI,"Private, nonprofit",51247,
Western Illinois University,IL,Public,51203,
Ball State University,IN,Public,51186,
University of Wisconsin-River Falls,WI,Public,51148,
University of North Georgia,,Public,51131,
Rhode Island College,RI,Public,51105,
Coastal Carolina University,SC,Public,51010,
Otterbein University,OH,"Private, nonprofit",51006,
California State University-Bakersfield,CA,Public,50989,
Eastern Washington University,WA,Public,50969,
University of Mount Saint Vincent,NY,"Private, nonprofit",50940,
University of St Thomas,TX,"Private, nonprofit",50859,
Texas A&M University-San Antonio,,Public,50856,
Charleston Southern University,SC,"Private, nonprofit",50824,
Stockton University,NJ,Public,50820,
Duquesne University,PA,"Private, nonprofit",50794,
Truman State University,MO,Public,50785,
Wichita State University,KS,Public,50773,
Utah Tech University,UT,Public,50755,
University of Colorado Colorado Springs,CO,Public,50692,
Bellarmine University,KY,"Private, nonprofit",50665,
Heidelberg University,OH,"Private, nonprofit",50626,
Adelphi University,NY,"Private, nonprofit",50556,
Fisher College,MA,"Private, nonprofit",50535,
Albright College,PA,"Private, nonprofit",50531,
Worcester State University,MA,Public,50511,
Springfield College,MA,"Private, nonprofit",50506,
"Springfield College-Regional, Online, and Continuing Education",MA,"Private, nonprofit",50506,
Western Kentucky University,KY,Public,50392,
Tarleton State University,TX,Public,50385,
Ouachita Baptist University,AR,"Private, nonprofit",50369,
Shepherd University,WV,Public,50353,
Saint Vincent College,PA,"Private, nonprofit",50341,
Valparaiso University,IN,"Private, nonprofit",50325,
Stephen F Austin State University,TX,Public,50302,
CUNY Lehman College,NY,Public,50265,
Salem State University,MA,Public,50260,
The University of Texas at Tyler,TX,Public,50247,
Sam Houston State University,TX,Public,50125,
Aurora University,IL,"Private, nonprofit",50079,
Missouri State University-Springfield,MO,Public,50065,
Northwest Missouri State University,MO,Public,50012,
King's College,PA,"Private, nonprofit",49930,
Northeastern State University,OK,Public,49854,
University of Houston-Clear Lake,TX,Public,49841,
St. Francis College,NY,"Private, nonprofit",49805,
Lamar University,TX,Public,49746,
Western Oregon University,OR,Public,49630,
University of South Carolina Beaufort,SC,Public,49545,
University of Houston,TX,Public,49545,
University of Mary Hardin-Baylor,TX,"Private, nonprofit",49545,
Elizabethtown College,PA,"Private, nonprofit",49514,
Southern Oregon University,OR,Public,49511,
Champlain College,VT,"Private, nonprofit",49508,
The New School,NY,"Private, nonprofit",49489,
Waldorf University,IA,"Private, for-profit",49473,
Mercy University,NY,"Private, nonprofit",49395,
Kent State University at Ashtabula,OH,Public,49375,
Kent State University at East Liverpool,OH,Public,49375,
Kent State University at Stark,OH,Public,49375,
Kent State University at Trumbull,OH,Public,49375,
Kent State University at Tuscarawas,OH,Public,49375,
Kent State University at Salem,OH,Public,49375,
