Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Arizona State University Digital Immersion,,Public,50205,
CUNY Queens College,NY,Public,50194,
Hood College,MD,"Private, nonprofit",50126,
University of Dallas,TX,"Private, nonprofit",50113,
Willamette University,OR,"Private, nonprofit",50060,
Slippery Rock University of Pennsylvania,PA,Public,50034,
Texas Woman's University,TX,Public,49909,
Oberlin College,OH,"Private, nonprofit",49906,
University of Houston,TX,Public,49884,
California State University-Long Beach,CA,Public,49804,
Georgia State University,GA,Public,49792,
Bucknell University,PA,"Private, nonprofit",49785,
Southern Oregon University,OR,Public,49706,
University of San Francisco,CA,"Private, nonprofit",49684,
Iowa State University,IA,Public,49626,
Indiana University of Pennsylvania,PA,Public,49537,
John Carroll University,OH,"Private, nonprofit",49493,
Louisiana State University and Agricultural & Mechanical College,LA,Public,49464,
University of Portland,OR,"Private, nonprofit",49434,
University of Michigan-Dearborn,MI,Public,49421,
San Diego State University,CA,Public,49406,
St Olaf College,MN,"Private, nonprofit",49382,
University of Denver,CO,"Private, nonprofit",49287,
California State University-Chico,CA,Public,49189,
Lincoln University,PA,Public,49159,
Michigan State University,MI,Public,49154,
Kalamazoo College,MI,"Private, nonprofit",49150,
Northeastern Illinois University,IL,Public,49141,
University of Vermont,VT,Public,49101,
University of North Carolina at Charlotte,NC,Public,49088,
Guilford College,NC,"Private, nonprofit",49064,
University of Florida,FL,Public,49046,
Rhodes College,TN,"Private, nonprofit",49042,
Old Dominion University,VA,Public,49024,
Pittsburg State University,KS,Public,49023,
Baldwin Wallace University,OH,"Private, nonprofit",49016,
Mount Holyoke College,MA,"Private, nonprofit",48984,
University of Baltimore,MD,Public,48981,
Hendrix College,AR,"Private, nonprofit",48969,
Rhode Island College,RI,Public,48948,
SUNY Oneonta,NY,Public,48926,
SUNY College at Potsdam,NY,Public,48920,
Texas A&M University-San Antonio,,Public,48877,
University of Nebraska-Lincoln,NE,Public,48785,
University of Nevada-Las Vegas,NV,Public,48773,
Sam Houston State University,TX,Public,48761,
Bowie State University,MD,Public,48707,
University of Alabama at Birmingham,AL,Public,48706,
University of Maryland Eastern Shore,MD,Public,48475,
University of Massachusetts-Amherst,MA,Public,48475,
Alma College,MI,"Private, nonprofit",48445,
University of Illinois Chicago,IL,Public,48442,
The University of Texas at Tyler,TX,Public,48397,
North Carolina State University at Raleigh,NC,Public,48338,
Ohio State University-Lima Campus,OH,Public,48301,
Ohio State University-Mansfield Campus,OH,Public,48301,
Ohio State University-Marion Campus,OH,Public,48301,
Ohio State University-Newark Campus,OH,Public,48301,
Ohio State University-Main Campus,OH,Public,48301,
University of Nebraska at Omaha,NE,Public,48296,
University of Illinois Springfield,IL,Public,48196,
University of Wisconsin-Oshkosh,WI,Public,48178,
Oakland University,MI,Public,48101,
Keene State College,NH,Public,48091,
Northern Illinois University,IL,Public,47981,
Lawrence University,WI,"Private, nonprofit",47954,
Carthage College,WI,"Private, nonprofit",47935,
Winona State University,MN,Public,47876,
University of Minnesota-Twin Cities,MN,Public,47873,
Lebanon Valley College,PA,"Private, nonprofit",47838,
University of Arkansas,AR,Public,47809,
Randolph-Macon College,VA,"Private, nonprofit",47804,
Athens State University,AL,Public,47773,
Montana State University,MT,Public,47757,
CUNY City College,NY,Public,47753,
California State Polytechnic University-Pomona,CA,Public,47721,
Whitworth University,WA,"Private, nonprofit",47699,
California State University-Northridge,CA,Public,47660,
Florida International University,FL,Public,47659,
Florida Atlantic University,FL,Public,47642,
University of Oregon,OR,Public,47639,
Texas State University,TX,Public,47634,
St Catherine University,MN,"Private, nonprofit",47549,
Gordon College,MA,"Private, nonprofit",47495,
University of Missouri-Columbia,MO,Public,47487,
SUNY College at Geneseo,NY,Public,47460,
Illinois State University,IL,Public,47445,
Hope College,MI,"Private, nonprofit",47445,
University of Phoenix-Arizona,,"Private, for-profit",47429,
University of Massachusetts-Dartmouth,MA,Public,47268,
California State University-Fresno,CA,Public,47223,
Eastern Illinois University,IL,Public,47222,
Marist University,NY,"Private, nonprofit",47170,
East Stroudsburg University of Pennsylvania,PA,Public,47162,
University of North Alabama,AL,Public,47150,
Middle Tennessee State University,TN,Public,47105,
Southern New Hampshire University,NH,"Private, nonprofit",47103,
The University of Arizona Global Campus,AZ,"Private, for-profit",47071,
University of Utah,UT,Public,47005,
Commonwealth University of Pennsylvania,,Public,46990,
Gustavus Adolphus College,MN,"Private, nonprofit",46987,
Troy University,AL,Public,46923,
University of New Mexico-Main Campus,NM,Public,46850,
Stephen F Austin State University,TX,Public,46849,
Morehouse College,GA,"Private, nonprofit",46847,
Dominican University,IL,"Private, nonprofit",46780,
Wichita State University,KS,Public,46768,
University of Minnesota-Duluth,MN,Public,46740,
University of Wisconsin-Milwaukee,WI,Public,46712,
East Texas A&M University,TX,Public,46615,
Frostburg State University,MD,Public,46612,
Western Washington University,WA,Public,46571,
University of Central Florida,FL,Public,46532,
Weber State University,UT,Public,46508,
University of Kansas,KS,Public,46464,
University of Northern Colorado,CO,Public,46455,
University of Wisconsin-Whitewater,WI,Public,46409,
The University of Tennessee-Knoxville,TN,Public,46366,
University of New Haven,CT,"Private, nonprofit",46356,
University of Northern Iowa,IA,Public,46343,
Belmont University,TN,"Private, nonprofit",46342,
Goucher College,MD,"Private, nonprofit",46333,
Washington College,MD,"Private, nonprofit",46305,
Miami University-Hamilton,OH,Public,46269,
Miami University-Middletown,OH,Public,46269,
Miami University-Oxford,OH,Public,46269,
Colorado State University-Fort Collins,CO,Public,46154,
Luther College,IA,"Private, nonprofit",46116,
Clark University,MA,"Private, nonprofit",46113,
University of Wisconsin-Eau Claire,WI,Public,46075,
University of Wisconsin-La Crosse,WI,Public,46043,
Elmhurst University,IL,"Private, nonprofit",46021,
University of North Carolina Wilmington,NC,Public,46008,
Dominican University New York,NY,"Private, nonprofit",45986,
Appalachian State University,NC,Public,45954,
Northern Arizona University,AZ,Public,45915,
Georgia Southern University,GA,Public,45901,
Virginia Commonwealth University,VA,Public,45844,
Florida Gulf Coast University,FL,Public,45842,
Tarleton State University,TX,Public,45834,
University of Mary Washington,VA,Public,45824,
Dalton State College,GA,Public,45747,
The University of Texas Rio Grande Valley,TX,Public,45746,
Minnesota State University-Mankato,MN,Public,45688,
University of the Incarnate Word,TX,"Private, nonprofit",45684,
University of Wyoming,WY,Public,45673,
Bellarmine University,KY,"Private, nonprofit",45612,
University of Arkansas at Little Rock,AR,Public,45610,
University of Louisville,KY,Public,45572,
Minnesota State University Moorhead,MN,Public,45483,
Texas A & M International University,TX,Public,45454,
Montclair State University,NJ,Public,45337,
Emporia State University,KS,Public,45292,
The University of Tennessee-Chattanooga,TN,Public,45253,
Grand Valley State University,MI,Public,45237,
University of Houston-Downtown,TX,Public,45223,
University of South Carolina-Columbia,SC,Public,45185,
The University of Texas at El Paso,TX,Public,45184,
Canisius University,NY,"Private, nonprofit",45180,
University of South Florida,FL,Public,45178,
University of Nevada-Reno,NV,Public,45095,
Western Carolina University,NC,Public,45079,
Ripon College,WI,"Private, nonprofit",45050,
University of North Georgia,,Public,45047,
State University of New York at New Paltz,NY,Public,45024,
Plymouth State University,NH,Public,45019,
University of North Dakota,ND,Public,44961,
Georgia College & State University,GA,Public,44931,
West Texas A & M University,TX,Public,44920,
University of Central Arkansas,AR,Public,44809,
The University of Texas at San Antonio,TX,Public,44680,
Northern Kentucky University,KY,Public,44385,
University of Kentucky,KY,Public,44384,
University of Central Oklahoma,OK,Public,44331,
The University of Alabama,AL,Public,44278,
Utah Valley University,UT,Public,44206,
Auburn University,AL,Public,44158,
Winthrop University,SC,Public,44068,
University of Arizona,AZ,Public,44058,
Colorado State University Pueblo,CO,Public,44045,
SUNY Brockport,NY,Public,43956,
