Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
University of California-San Diego,CA,Public,51679,
Louisiana State University and Agricultural & Mechanical College,LA,Public,51675,
Goldey-Beacom College,DE,"Private, nonprofit",51665,
California State University-Fullerton,CA,Public,51661,
Pittsburg State University,KS,Public,51640,
Shippensburg University of Pennsylvania,PA,Public,51607,
Rochester Institute of Technology,NY,"Private, nonprofit",51577,
Capella University,MN,"Private, for-profit",51571,
University of Nevada-Reno,NV,Public,51553,
Palm Beach Atlantic University,FL,"Private, nonprofit",51530,
California State University-Fresno,CA,Public,51526,
Simmons University,MA,"Private, nonprofit",51474,
University of the Incarnate Word,TX,"Private, nonprofit",51470,
Grand Valley State University,MI,Public,51460,
The University of Texas at Dallas,TX,Public,51459,
Ursinus College,PA,"Private, nonprofit",51443,
Virginia Commonwealth University,VA,Public,51440,
University of Louisville,KY,Public,51387,
Holy Family University,PA,"Private, nonprofit",51374,
SUNY Oneonta,NY,Public,51355,
Eureka College,IL,"Private, nonprofit",51353,
Chaminade University of Honolulu,HI,"Private, nonprofit",51344,
University of Mount Union,OH,"Private, nonprofit",51316,
Whitworth University,WA,"Private, nonprofit",51288,
Eastern Nazarene College,MA,"Private, nonprofit",51277,
University of Massachusetts-Amherst,MA,Public,51274,
West Virginia University Institute of Technology,WV,Public,51263,
West Virginia University,WV,Public,51263,
University of Nevada-Las Vegas,NV,Public,51200,
Boise State University,ID,Public,51184,
Utah State University,UT,Public,51111,
Trinity Christian College,IL,"Private, nonprofit",51104,
Elmira College,NY,"Private, nonprofit",51101,
Saint Martin's University,WA,"Private, nonprofit",51097,
Dominican University,IL,"Private, nonprofit",51093,
Dallas Baptist University,TX,"Private, nonprofit",51088,
University of Wisconsin-Platteville,WI,Public,51083,
University of Hawaii at Hilo,HI,Public,51061,
Kean University,NJ,Public,51052,
Loras College,IA,"Private, nonprofit",51036,
University of Iowa,IA,Public,51031,
Long Island University,NY,"Private, nonprofit",51029,
University of Wisconsin-Stevens Point,WI,Public,51024,
San Diego State University,CA,Public,51021,
University of South Dakota,SD,Public,50993,
Plymouth State University,NH,Public,50968,
Oklahoma State University-Main Campus,OK,Public,50956,
Stockton University,NJ,Public,50947,
Avila University,MO,"Private, nonprofit",50905,
Saint Vincent College,PA,"Private, nonprofit",50904,
Nazareth University,NY,"Private, nonprofit",50903,
Upper Iowa University,IA,"Private, nonprofit",50877,
Multnomah University,OR,"Private, nonprofit",50864,
Gwynedd Mercy University,PA,"Private, nonprofit",50848,
Utica University,NY,"Private, nonprofit",50847,
University of Nebraska at Omaha,NE,Public,50826,
Virginia Union University,VA,"Private, nonprofit",50826,
University of Oregon,OR,Public,50810,
Transylvania University,KY,"Private, nonprofit",50790,
Castleton University,VT,Public,50782,
Northern Vermont University,VT,Public,50782,
Vermont State University,VT,Public,50782,
University of South Carolina Beaufort,SC,Public,50776,
Ripon College,WI,"Private, nonprofit",50762,
State University of New York at Plattsburgh,NY,Public,50673,
Wilmington University,DE,"Private, nonprofit",50669,
Western Michigan University,MI,Public,50655,
Kennesaw State University,,Public,50645,
Southern Connecticut State University,CT,Public,50642,
Auburn University,AL,Public,50633,
Alderson Broaddus University,WV,"Private, nonprofit",50627,
Temple University,PA,Public,50582,
University of Portland,OR,"Private, nonprofit",50579,
Nova Southeastern University,FL,"Private, nonprofit",50563,
Texas State University,TX,Public,50549,
University of North Carolina at Charlotte,NC,Public,50507,
Curry College,MA,"Private, nonprofit",50496,
Northern Arizona University,AZ,Public,50448,
Russell Sage College,NY,"Private, nonprofit",50446,
Southwestern University,TX,"Private, nonprofit",50426,
Western Connecticut State University,CT,Public,50410,
University of Nebraska at Kearney,NE,Public,50360,
William Jessup University,CA,"Private, nonprofit",50354,
California State University-Stanislaus,CA,Public,50348,
Metropolitan State University of Denver,CO,Public,50326,
Nebraska Wesleyan University,NE,"Private, nonprofit",50320,
Salisbury University,MD,Public,50319,
East Carolina University,NC,Public,50270,
King's College,PA,"Private, nonprofit",50244,
Frostburg State University,MD,Public,50210,
South Dakota State University,SD,Public,50210,
Waldorf University,IA,"Private, for-profit",50184,
Christian Brothers University,TN,"Private, nonprofit",50180,
Wittenberg University,OH,"Private, nonprofit",50147,
Eastern Washington University,WA,Public,50125,
Saginaw Valley State University,MI,Public,50066,
Fitchburg State University,MA,Public,50046,
Trevecca Nazarene University,TN,"Private, nonprofit",49989,
Empire State University,NY,Public,49979,
Wheaton College,IL,"Private, nonprofit",49974,
University of Mississippi,MS,Public,49974,
Saint Mary-of-the-Woods College,IN,"Private, nonprofit",49971,
Simpson College,IA,"Private, nonprofit",49966,
University of Nebraska-Lincoln,NE,Public,49965,
Utah Tech University,UT,Public,49965,
Ouachita Baptist University,AR,"Private, nonprofit",49954,
William Penn University,IA,"Private, nonprofit",49929,
Guilford College,NC,"Private, nonprofit",49921,
The University of Alabama,AL,Public,49900,
Massachusetts College of Liberal Arts,MA,Public,49826,
California State University-Northridge,CA,Public,49792,
Southern New Hampshire University,NH,"Private, nonprofit",49769,
University of Central Florida,FL,Public,49760,
California State Polytechnic University-Pomona,CA,Public,49747,
Franklin College,IN,"Private, nonprofit",49687,
Northern Illinois University,IL,Public,49669,
University of Hartford,CT,"Private, nonprofit",49642,
University of North Carolina Wilmington,NC,Public,49609,
Indiana University-East,IN,Public,49596,
Ferris State University,MI,Public,49596,
Concordia University-Irvine,CA,"Private, nonprofit",49593,
Gardner-Webb University,NC,"Private, nonprofit",49587,
Purdue University Fort Wayne,IN,Public,49582,
Pennsylvania State University-Penn State Erie-Behrend College,PA,Public,49543,
Pennsylvania State University-Penn State New Kensington,PA,Public,49543,
Pennsylvania State University-Penn State Wilkes-Barre,PA,Public,49543,
Pennsylvania State University-Penn State Scranton,PA,Public,49543,
Pennsylvania State University-Penn State Lehigh Valley,PA,Public,49543,
Pennsylvania State University-Penn State Altoona,PA,Public,49543,
Pennsylvania State University-Penn State Beaver,PA,Public,49543,
Pennsylvania State University-Penn State Berks,PA,Public,49543,
Pennsylvania State University-Penn State Harrisburg,PA,Public,49543,
Pennsylvania State University-Penn State Brandywine,PA,Public,49543,
Pennsylvania State University-Penn State DuBois,PA,Public,49543,
Pennsylvania State University-Penn State Fayette- Eberly,PA,Public,49543,
Pennsylvania State University-Penn State Hazleton,PA,Public,49543,
Pennsylvania State University-Main Campus,PA,Public,49543,
Pennsylvania State University-Penn State Greater Allegheny,PA,Public,49543,
Pennsylvania State University-Penn State Mont Alto,PA,Public,49543,
Pennsylvania State University-Penn State Schuylkill,PA,Public,49543,
Pennsylvania State University-Penn State York,PA,Public,49543,
Pillar College,NJ,"Private, nonprofit",49543,
Pennsylvania State University-World Campus,PA,Public,49543,
Coppin State University,MD,Public,49542,
Edgewood University,WI,"Private, nonprofit",49536,
University of Saint Joseph,CT,"Private, nonprofit",49532,
Minnesota State University Moorhead,MN,Public,49492,
Eastern Illinois University,IL,Public,49478,
Florida International University,FL,Public,49470,
University of Sioux Falls,SD,"Private, nonprofit",49469,
Salem College,NC,"Private, nonprofit",49464,
University of Northern Colorado,CO,Public,49455,
Biola University,CA,"Private, nonprofit",49450,
Oral Roberts University,OK,"Private, nonprofit",49447,
Olivet Nazarene University,IL,"Private, nonprofit",49427,
St. Augustine College,IL,"Private, nonprofit",49406,
Ohio University-Eastern Campus,OH,Public,49399,
Ohio University-Chillicothe Campus,OH,Public,49399,
Ohio University-Southern Campus,OH,Public,49399,
Ohio University-Lancaster Campus,OH,Public,49399,
Ohio University-Main Campus,OH,Public,49399,
Ohio University-Zanesville Campus,OH,Public,49399,
Oglethorpe University,GA,"Private, nonprofit",49396,
Post University,CT,"Private, for-profit",49393,
Loyola University New Orleans,LA,"Private, nonprofit",49380,
Millersville University of Pennsylvania,PA,Public,49374,
Winona State University,MN,Public,49361,
Missouri University of Science and Technology,MO,Public,49360,
Carroll College,MT,"Private, nonprofit",49321,
