Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Bowling Green State University-Main Campus,OH,Public,58254,
University of Illinois Springfield,IL,Public,58236,
DePaul University,IL,"Private, nonprofit",58163,
SUNY Buffalo State University,NY,Public,58041,
Missouri State University-Springfield,MO,Public,58014,
Florida International University,FL,Public,57996,
St Olaf College,MN,"Private, nonprofit",57869,
SUNY Brockport,NY,Public,57866,
University of North Texas,TX,Public,57852,
Bradley University,IL,"Private, nonprofit",57832,
Frostburg State University,MD,Public,57770,
Iowa State University,IA,Public,57752,
Pennsylvania Western University,,Public,57724,
Youngstown State University,OH,Public,57643,
California State University-Northridge,CA,Public,57527,
University of Kentucky,KY,Public,57514,
John Carroll University,OH,"Private, nonprofit",57377,
Troy University,AL,Public,57341,
SUNY at Fredonia,NY,Public,57321,
University of North Carolina at Charlotte,NC,Public,57273,
University of Wisconsin-La Crosse,WI,Public,57256,
Ashland University,OH,"Private, nonprofit",57165,
Presbyterian College,SC,"Private, nonprofit",57154,
Florida Southern College,FL,"Private, nonprofit",57128,
Columbus State University,GA,Public,57008,
West Virginia University Institute of Technology,WV,Public,56969,
West Virginia University,WV,Public,56969,
Saint Michael's College,VT,"Private, nonprofit",56954,
La Salle University,PA,"Private, nonprofit",56792,
University of Oklahoma-Norman Campus,OK,Public,56749,
University of California-Riverside,CA,Public,56740,
Texas State University,TX,Public,56716,
Rider University,NJ,"Private, nonprofit",56713,
Capital University,OH,"Private, nonprofit",56686,
Brigham Young University-Idaho,ID,"Private, nonprofit",56644,
University of Arizona,AZ,Public,56585,
Indiana University-Indianapolis,IN,Public,56560,
Liberty University,VA,"Private, nonprofit",56550,
Mount St. Mary's University,MD,"Private, nonprofit",56507,
Grand Canyon University,AZ,"Private, for-profit",56495,
Wright State University-Main Campus,OH,Public,56423,
California State University-Stanislaus,CA,Public,56330,
State University of New York at Oswego,NY,Public,56281,
Commonwealth University of Pennsylvania,,Public,56161,
California State University-Los Angeles,CA,Public,56063,
Valparaiso University,IN,"Private, nonprofit",56054,
Sam Houston State University,TX,Public,55894,
Lindenwood University,MO,"Private, nonprofit",55869,
University of Louisville,KY,Public,55856,
Whittier College,CA,"Private, nonprofit",55853,
University of North Carolina Asheville,NC,Public,55698,
Augsburg University,MN,"Private, nonprofit",55676,
Clayton  State University,GA,Public,55643,
North Carolina A & T State University,NC,Public,55572,
Slippery Rock University of Pennsylvania,PA,Public,55548,
Southern Illinois University-Carbondale,IL,Public,55544,
University of Nevada-Reno,NV,Public,55483,
Boise State University,ID,Public,55478,
Augustana College,IL,"Private, nonprofit",55295,
Shippensburg University of Pennsylvania,PA,Public,55295,
Longwood University,VA,Public,55259,
University of Hawaii at Manoa,HI,Public,55177,
Simmons University,MA,"Private, nonprofit",55069,
Winona State University,MN,Public,55027,
Fairleigh Dickinson University-Metropolitan Campus,NJ,"Private, nonprofit",54888,
Fairleigh Dickinson University-Florham Campus,NJ,"Private, nonprofit",54888,
Wichita State University,KS,Public,54874,
Western Michigan University,MI,Public,54840,
Florida Gulf Coast University,FL,Public,54824,
The University of Arizona Global Campus,AZ,"Private, for-profit",54740,
Rhode Island College,RI,Public,54540,
Manhattan University,NY,"Private, nonprofit",54486,
Eastern Connecticut State University,CT,Public,54479,
Baldwin Wallace University,OH,"Private, nonprofit",54410,
Fairmont State University,WV,Public,54360,
Appalachian State University,NC,Public,54344,
Knox College,IL,"Private, nonprofit",54341,
Western Kentucky University,KY,Public,54333,
Mississippi State University,MS,Public,54325,
University of Wisconsin-Whitewater,WI,Public,54074,
The University of Texas at El Paso,TX,Public,54069,
Northern Illinois University,IL,Public,54039,
Stockton University,NJ,Public,54022,
Tennessee State University,TN,Public,54008,
Carleton College,MN,"Private, nonprofit",53975,
California State University-Fullerton,CA,Public,53966,
Coastal Carolina University,SC,Public,53948,
Savannah State University,GA,Public,53906,
Florida Atlantic University,FL,Public,53872,
Delaware State University,DE,Public,53838,
University of West Georgia,GA,Public,53827,
University of North Carolina at Pembroke,NC,Public,53779,
The University of Texas at San Antonio,TX,Public,53674,
University of Indianapolis,IN,"Private, nonprofit",53579,
Long Island University,NY,"Private, nonprofit",53556,
State University of New York at New Paltz,NY,Public,53534,
Luther College,IA,"Private, nonprofit",53510,
Eastern Washington University,WA,Public,53502,
California State University-San Bernardino,CA,Public,53378,
Wheaton College (Massachusetts),MA,"Private, nonprofit",53285,
Hamline University,MN,"Private, nonprofit",53252,
